,body,Amir,Ali,Misagh,
81,"            cosDict.setItem(COSName.SUBTYPE, COSName.getPDFName(""Widget""));",0,,,
82,"            cosDict.setItem(COSName.T, new COSString(""My Btn""));",0,,,
83,"            cosDict.setItem(COSName.V, new COSString(""Validate""));",0,,,
84,"            cosDict.setItem(COSName.DA, new COSString(""/Helv 7 Tf 0 g""));",0,,,
85,"            PDPushButton button = new PDPushButton(acroForm, cosDict);",0,,,
86,"            button.setValue(""Validate Button"");",0,,,
87,"            PDActionJavaScript tfJs = new PDActionJavaScript(""validate(""+index+"");"");",0,,,
88,            PDAnnotationAdditionalActions tfAction = new PDAnnotationAdditionalActions();,0,,,
89,            PDGamma colourBlack = new PDGamma();,0,,,
90,            PDAppearanceCharacteristicsDictionary fieldAppearance = ,0,,,
91,                    new PDAppearanceCharacteristicsDictionary(cosDict);,0,,,
92,['I\'m trying to simply send an email from gmail in a JUnit test using a service account.,1,,,
93,I have this test:,1,,,
94,"public void testGmailCredential() throws GeneralSecurityException, URISyntaxException {",0,,,
95,    try {,0,,,
96,"        InputStream is = getClass().getClassLoader().getResourceAsStream(""myProject.json"");",0,,,
97,        GoogleCredential credential = GoogleCredential.fromStream(is).createScoped(GmailScopes.all());,0,,,
98,"        System.out.println(""Scopes are "" + credential.getServiceAccountScopesAsString());",0,,,
99,"        Gmail gmailService = new Gmail.Builder(getHttpTransport(), JSON_FACTORY, credential)",0,,,
100,"                  .setApplicationName(""WHAT SHOULD THIS VALUE BE?"")",0,,,
101,"        InternetAddress to = new InternetAddress(""myemail@myurl.com"", ""Tom Catfish"");",0,,,
102,"        InternetAddress from = new InternetAddress(""myServiceAccountId@xxxxxxxxxx.iam.gserviceaccount.com"", ""Some Name"");",0,,,
103,        Properties props = new Properties();,0,,,
104,"        Session session = Session.getDefaultInstance(props, null);",0,,,
105,        MimeMessage email = new MimeMessage(session);,0,,,
106,"        email.addRecipient(javax.mail.Message.RecipientType.TO, to);",0,,,
107,"        email.setSubject(""Subject here"");",0,,,
108,"        email.setText(""body here"");",0,,,
109,        ByteArrayOutputStream buffer = new ByteArrayOutputStream();,0,,,
110,        byte[] bytes = buffer.toByteArray();,0,,,
111,        String encodedEmail = Base64.getUrlEncoder().encodeToString(bytes);,0,,,
112,        Message message = new Message();,0,,,
113,"        message = gmailService.users().messages().send(""me"", message).execute();",0,,,
114,"        System.out.println(""Message id: "" + message.getId());",0,,,
115,        // other code...,1,,,
116,Which fails with this:,1,,,
117,Scopes are https://www.googleapis.com/auth/gmail.compose,1,,,
118,com.google.api.client.googleapis.json.GoogleJsonResponseException: 400 Bad Request,0,,,
119,"  ""code"" : 400,",0,,,
120,"  ""errors"" : [ {",0,,,
121,"    ""domain"" : ""global"",",0,,,
122,"    ""message"" : ""Bad Request"",",0,,,
123,"    ""reason"" : ""failedPrecondition""",0,,,
124,"  } ],",0,,,
125,"  ""message"" : ""Bad Request""",0,,,
126,    at com.google.api.client.googleapis.json.GoogleJsonResponseException.from(GoogleJsonResponseException.java:145),0,,,
127,    at com.google.api.client.googleapis.services.json.AbstractGoogleJsonClientRequest.newExceptionOnError(AbstractGoogleJsonClientRequest.java:113),0,,,
128,    at com.google.api.client.googleapis.services.json.AbstractGoogleJsonClientRequest.newExceptionOnError(AbstractGoogleJsonClientRequest.java:40),0,,,
129,    at com.google.api.client.googleapis.services.AbstractGoogleClientRequest$1.interceptResponse(AbstractGoogleClientRequest.java:321),0,,,
130,    at com.google.api.client.http.HttpRequest.execute(HttpRequest.java:1056),0,,,
131,    at com.google.api.client.googleapis.services.AbstractGoogleClientRequest.executeUnparsed(AbstractGoogleClientRequest.java:419),0,,,
132,    at com.google.api.client.googleapis.services.AbstractGoogleClientRequest.executeUnparsed(AbstractGoogleClientRequest.java:352),0,,,
133,    at com.google.api.client.googleapis.services.AbstractGoogleClientRequest.execute(AbstractGoogleClientRequest.java:469),0,,,
134,    at com.op.services.NotificationServiceTest.testGmailCredential(NotificationServiceTest.java:90),0,,,
135,    at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method),0,,,
136,    at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62),0,,,
137,    at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43),0,,,
138,    at java.lang.reflect.Method.invoke(Method.java:497),0,,,
139,    at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50),0,,,
140,    at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12),0,,,
141,    at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47),0,,,
142,    at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17),0,,,
143,    at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:325),0,,,
144,    at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:78),0,,,
145,    at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:57),0,,,
146,    at org.junit.runners.ParentRunner$3.run(ParentRunner.java:290),0,,,
147,    at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:71),0,,,
148,    at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:288),0,,,
149,    at org.junit.runners.ParentRunner.access$000(ParentRunner.java:58),0,,,
150,    at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:268),0,,,
151,    at org.junit.runners.ParentRunner.run(ParentRunner.java:363),0,,,
152,    at org.eclipse.jdt.internal.junit4.runner.JUnit4TestReference.run(JUnit4TestReference.java:86),0,,,
153,    at org.eclipse.jdt.internal.junit.runner.TestExecution.run(TestExecution.java:38),0,,,
154,    at org.eclipse.jdt.internal.junit.runner.RemoteTestRunner.runTests(RemoteTestRunner.java:459),0,,,
155,    at org.eclipse.jdt.internal.junit.runner.RemoteTestRunner.runTests(RemoteTestRunner.java:675),0,,,
156,    at org.eclipse.jdt.internal.junit.runner.RemoteTestRunner.run(RemoteTestRunner.java:382),0,,,
157,    at org.eclipse.jdt.internal.junit.runner.RemoteTestRunner.main(RemoteTestRunner.java:192),0,,,
158,I have the file src/test/resources/myProject.json which contains this information:,0,,,
159,"  ""type"": ""service_account"",",0,,,
160,"  ""project_id"": ""xxxxxxxxxxx"",",0,,,
161,"  ""private_key_id"": ""28341330..."",",0,,,
162,"  ""private_key"": ""-----BEGIN PRIVATE KEY-----\\.........\",0,,,
163,=-----END PRIVATE KEY-----\,0,,,
164,"  ""client_email"": ""myServiceAccountId@xxxxxxxxxx.iam.gserviceaccount.com"",",0,,,
165,"  ""client_id"": ""1182...."",",0,,,
166,"  ""auth_uri"": ""https://accounts.google.com/o/oauth2/auth"",",0,,,
167,"  ""token_uri"": ""https://accounts.google.com/o/oauth2/token"",",0,,,
168,"  ""auth_provider_x509_cert_url"": ""https://www.googleapis.com/oauth2/v1/certs"",",0,,,
169,"  ""client_x509_cert_url"": ""https://www.googleapis.com/robot/v1/metadata/x509/myApp%40xxxxxxx.iam.gserviceaccount.com""",0,,,
170,"How can I troubleshoot what is causing this stupid, not helpful failedPrecondition resopnse from Google?",1,,,
171,"[""I have a Spring Boot application which throws the below exception when lauching. The strange thing is the same jar (when run from windows and Ubuntu) works with a fresh install of MySQL 5.7 on Windows but does NOT work on MySQL 5.6 on Ubuntu 14 lts and throws the below exception! ",1,,,
172,"The root privileges, passwords are exactly the same. I tried with fresh installs on MySQL on Windows and Ubuntu. I am clueless at this point - I have tried steps in answers similar to this question on SO, but nothing works. ",1,,,
173,Is it likely an issue with mysql versions? What am I possibly missing?,1,,,
174,    EVERE: Unable to create initial connections of pool.,1,,,
175,java.sql.SQLException: Access denied for user 'root'@'localhost' (using password                                                                                        : YES),0,,,
176,        at com.mysql.jdbc.SQLError.createSQLException(SQLError.java:963),0,,,
177,        at com.mysql.jdbc.MysqlIO.checkErrorPacket(MysqlIO.java:3966),0,,,
178,        at com.mysql.jdbc.MysqlIO.checkErrorPacket(MysqlIO.java:3902),0,,,
179,        at com.mysql.jdbc.MysqlIO.checkErrorPacket(MysqlIO.java:875),0,,,
180,        at com.mysql.jdbc.MysqlIO.proceedHandshakeWithPluggableAuthentication(My                                                                                        sqlIO.java:1712),0,,,
181,        at com.mysql.jdbc.MysqlIO.doHandshake(MysqlIO.java:1228),0,,,
182,        at com.mysql.jdbc.ConnectionImpl.coreConnect(ConnectionImpl.java:2253),0,,,
183,        at com.mysql.jdbc.ConnectionImpl.connectOneTryOnly(ConnectionImpl.java:2                                                                                        284),0,,,
184,        at com.mysql.jdbc.ConnectionImpl.createNewIO(ConnectionImpl.java:2083),0,,,
185,        at com.mysql.jdbc.ConnectionImpl.<init>(ConnectionImpl.java:806),0,,,
186,        at com.mysql.jdbc.JDBC4Connection.<init>(JDBC4Connection.java:47),0,,,
187,        at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method),0,,,
188,        at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstruct                                                                                        orAccessorImpl.java:62),0,,,
189,        at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingC                                                                                        onstructorAccessorImpl.java:45),0,,,
190,        at java.lang.reflect.Constructor.newInstance(Constructor.java:408),0,,,
191,        at com.mysql.jdbc.Util.handleNewInstance(Util.java:404),0,,,
192,        at com.mysql.jdbc.ConnectionImpl.getInstance(ConnectionImpl.java:410),0,,,
193,        at com.mysql.jdbc.NonRegisteringDriver.connect(NonRegisteringDriver.java                                                                                        :328),0,,,
194,"['I am trying to some JUnit tests that simulate a server across the network dying. I have an internal utility that allows me to forward traffic from a port on localhost to any port on any other box, and I have used it for these test cases. The problem is that the utility is written in Python and for Unix only so it\'s hard to automate it inside Eclipse. My question is:",1,,,
195,Is there a Java library that can allow me to do this automatically at the drop of a method call?,1,,,
196,"In effect, I want something like Hoxy (which is for Node.js) but for Java.",1,,,
197,['I have 2 questions on how how to parse a specific aspect of this XML in JAXB with annotations.,1,,,
198,Assuming I have a FosterHome class defined...,1,,,
199,"1) For the ""Children"" tag, is there a way to contain the properties within a ""Children"" class without having to create a separate ""Info"" class?",1,,,
200,"2) Since the perperties of the ""Info"" tag are related to ""ChildList"" also, should I be having two Child classes one without Info and one with Info? Or is there a better way?",1,,,
201,Im trying to find the best way to parse this. Please refer to this posting for current set of classes: How do I parse this XML in Java with JAXB?,1,,,
202,<Orphanage>Happy Days Daycare</Orphanage>,1,,,
203,<Location>Apple Street</Location>,1,,,
204,['I need a Quartz job to retrieve data from a Database.,1,,,
205,From reading the documents it recommends using simple primitive types in the Quartz Job Execution,1,,,
206,My Question is this - should I:,1,,,
207,Re-initialize my connection to the DB every time the Quartz Job Fires,1,,,
208,Pass the DB connection object as a parameter to the Quartz Object,1,,,
209,['I would like to replace Location header in one condition. I use the following to enable Redirect,1,,,
210,"What I did is to extended AsyncCompletionHandler class, and from there I @Override onHeadersReceived(),",1,,,
211,public State onHeadersReceived(final HttpResponseHeaders headers) throws Exception {,0,,,
212,"String location = headers.getHeaders().get(""Location"").replace(""itmss"", ""https""",0,,,
213,DefaultHttpHeaders httpHeaders = new DefaultHttpHeaders();,0,,,
214,"httpHeaders.add(HEADER, location);",0,,,
215,return inner.onHeadersReceived(new HttpResponseHeaders(httpHeaders));,0,,,
216,"However, I see that the request still uses itms instead of https, which means the Location header is not replaced.",1,,,
217,"The current plan is to implement a interceptor that runs before Redirect30xInterceptor.java(https://github.com/AsyncHttpClient/async-http-client/blob/dd459294434a408cff3c65c9f5c402b82d60aaa2/client/src/main/java/org/asynchttpclient/netty/handler/intercept/Redirect30xInterceptor.java), and change the url.",1,,,
218,"The other plan is to do a while loop for the following code, and whenever receiving 3XX, set a new url in the next request.",1,,,
219,"                             .addHeader(""User-Agent"", request.getUserAgent())",0,,,
220,                             .execute(new ResponseAsyncCompletionHandler(request)),0,,,
221,"The ultimate goal is to replace itms:// to https://, so the next request uses https instead of itms.",0,,,
222,['I\'d like to know if you can display more than one div or table content of same id from onchange value.  Like if I select an option from drop down and it displays its content but i want to display another content from elsewhere in my page when same option is selected. ,1,,,
223,My code is as follows:,1,,,
224,"<select name=""debitOrderType"" id = ""debitOrderType"" ",1,,,
225,<option>Please select...</option>,0,,,
226,"<option value=""BANK"" selected>Debit Order (Monthly)</option>",0,,,
227,"<option value=""CARD"">Credit Card (Monthly)</option>",0,,,
228,"<option value=""INVOICE"">Invoice (Yearly)</option>",0,,,
229,Then when selecting Invoice from dropdown it displays the following:,1,,,
230,"<tbody id=""INVOICE"" style=""display: none;"">",0,,,
231,"<td class=""field"">Thank you for selecting to pay yearly in advance. By doing so you ",0,,,
232,are receiving one month\'s free listing.,1,,,
233,But now i want to display the following ALSO when Invoice is selected but in another part of the page:,1,,,
234,"<tbody id=""INVOICE"" style=""display: none;"">",0,,,
235,"<tr><td height=""5""></td></tr>",0,,,
236,"<tr><td align=""right"">This is your discounted yearly price</td></tr>  ",0,,,
237,But only the first part is showing and not both. It looks like you can\'t display more than one content from same Id. ,1,,,
238,Hope you can help me?,1,,,
239,Thanks in advance!,1,,,
240,['Brand new to Java netbeans),1,,,
241,Why does this give me an illegal start of type?,1,,,
242," * To change this license header, choose License Headers in Project Properties.",1,,,
243," * To change this template file, choose Tools | Templates",1,,,
244, * and open the template in the editor.,1,,,
245,package doccentertestingencryption;,0,,,
246,import java.io.BufferedReader;,0,,,
247,import java.io.IOException;,0,,,
248,import java.io.InputStream;,0,,,
249,import java.io.InputStreamReader;,0,,,
250,import java.security.cert.Certificate;,0,,,
251,import java.security.cert.CertificateFactory;,0,,,
252,import java.util.logging.Level;,0,,,
253,import java.util.logging.Logger;,0,,,
254, * @author dbarry,0,,,
255,public class FileLoader {,0,,,
256,    public class ClassLoaderDemo {,0,,,
257,"        String Foo = ""bar"";",0,,,
258,        try {,0,,,
259,            ClassLoader classLoader = ClassLoaderDemo.class.getClassLoader();,0,,,
260,            if (classLoader != null) {,0,,,
261,"                InputStream is = classLoader.getResourceAsStream(""mesh.xml"");",0,,,
262,                BufferedReader br = new BufferedReader(new InputStreamReader(is));,0,,,
263,"                String s = """";",0,,,
264,                try {,0,,,
265,                    while ((s = br.readLine()) != null)  {,0,,,
266,                } catch (IOException ex) {,0,,,
267,"                    Logger.getLogger(FileLoader.class.getName()).log(Level.SEVERE, null, ex);",0,,,
268,        } catch (Exception e) {,0,,,
269,['package jdbc;,0,,,
270,import java.sql.*;,0,,,
271,import java.util.Scanner;  ,0,,,
272,class driver{  ,0,,,
273,public static void main(String args[]){  ,0,,,
274,"        Connection con=DriverManager.getConnection(""jdbc:mysql://localhost:3306/countries"",""root"","""");  ",0,,,
275,        Statement stmt=con.createStatement();  ,0,,,
276,"        ResultSet rs=stmt.executeQuery(""select * from countries""); ",0,,,
277,        int count = 1;,0,,,
278,        Scanner scan = new Scanner(System.in);,0,,,
279,"System.out.println(""What county"");",0,,,
280,String info = scan.next();,0,,,
281,while(rs.next() ),0,,,
282,"    if(rs.getString(""name"").charAt(rs.getString(""name"").length() -1) == info.charAt(0) && rs.getString(""name"").equalsIgnoreCase((info)))",0,,,
283,"System.out.println(""success"" + rs.getString(""name""));",0,,,
284,catch(Exception e){ System.out.println(e);,0,,,
285,"My code obove connects to a database with all country names.  My game prints success when the last letter of the country given last equals the first letter of the country given next turn.  For example I type Canada, next input is Angola ect ...",1,,,
286,"['I ran into a problem with compiling my code. I managed to fix all the compiling errors that popped up aside from a few cannot find symbols all revolving around points I receive input. For the life of me I cannot find what is causing them. I realize I\'m probably overlooking something, but I have no idea what that is at this moment.",1,,,
287,import java.util.Scanner;,0,,,
288,import java.io.*;,0,,,
289,public class Tester{,0,,,
290,    public static void main(String[] args){,0,,,
291,    Scanner input=new Scanner(new File(args[0]));,0,,,
292,     char posit = input.nextChar();//Finds first character,0,,,
293,     String compar = Character.toString(posit);,0,,,
294,"     if(compar.equals(""#"")){//If using manager symbol",0,,,
295,        String firstN = input.nextString();,0,,,
296,        String lastN = input.nextString();,0,,,
297,        double var1 = input.nextDouble();,0,,,
298,"        Employee.Manager(firstN, lastN, var1);",0,,,
299,     }//End if manager statement,0,,,
300,"     else if(compar.equals(""*"")){//If using hourly symbol",0,,,
301,        String firstN = input.nextString();,0,,,
302,        String lastN = input.nextString();,0,,,
303,        double var1 = input.nextDouble();,0,,,
304,        double var2 = input.nextDouble();,0,,,
305,"        Employee.HourlyWorker(firstN, lastN, var1, var2);",0,,,
306,     }//End if hourly statement       ,0,,,
307,   }//End while loop,0,,,
308,  }//End main method,0,,,
309,}//End class,0,,,
310,Following are my errors:,0,,,
311,Line 14:  error: cannot find symbol ,0,,,
312,     char posit = input.nextChar();//Finds first character                   ,0,,,
313,symbol:   method nextChar() ,0,,,
314,location: variable input of type Scanner ,0,,,
315,Line 17:  error: cannot find symbol ,0,,,
316,        String firstN = input.nextString();  ,0,,,
317,symbol:   method nextString() ,0,,,
318,location: variable input of type Scanner ,0,,,
319,Line 18:  error: cannot find symbol ,0,,,
320,        String lastN = input.nextString();                                 ,0,,,
321,symbol:   method nextString() ,0,,,
322,location: variable input of type Scanner ,0,,,
323,Line 26:  error: cannot find symbol ,0,,,
324,        String firstN = input.nextString();                                 ,0,,,
325,symbol:   method nextString() ,0,,,
326,location: variable input of type Scanner ,0,,,
327,Line 27:  error: cannot find symbol ,0,,,
328,        String lastN = input.nextString();                                 ,0,,,
329,symbol:   method nextString() ,0,,,
330,location: variable input of type Scanner ,0,,,
331,5 errors ,0,,,
332,['I am trying to upload image file to a django Image field. All the fields get populated except image.,1,,,
333,My model is as follows:,1,,,
334,class ImageModel(models.Model):,0,,,
335,"    image_title = models.CharField(max_length=50, null=False, blank=False)",0,,,
336,"    uploader = models.CharField(max_length=50, null=False, blank=False)",0,,,
337,"    image = models.ImageField(upload_to=\'imgs/\', null=True, blank=True)",0,,,
338,And here\'s the Java code snippet for inserting data:,1,,,
339,"String query = ""INSERT INTO testapp_ImageModel (image_title , uploader , image) VALUES(?, ?, ?)"";",0,,,
340,"File file = new File(""Image location goes here"");",0,,,
341,try {,0,,,
342,        FileInputStream fis = new FileInputStream(file);,0,,,
343,        ByteArrayOutputStream bos = new ByteArrayOutputStream();,0,,,
344,        byte [] buffer = new byte[1024];,0,,,
345,        for(int readNum; (readNum = fis.read(buffer)) != -1; ){,0,,,
346,"            bos.write(buffer, 0, readNum);",0,,,
347,"            System.out.println(""Read "" + readNum + "" bytes..."");",0,,,
348,        byte [] image = bos.toByteArray();,0,,,
349,        PreparedStatement ps = connection.prepareStatement(query);,0,,,
350,"        ps.setString(1, ""Some Title"");",0,,,
351,"        ps.setString(2, ""Uploader Name goes here"");",0,,,
352,"        ps.setBytes(3, image);",0,,,
353,    }catch (Exception e) {,0,,,
354,I know ImageField in django won\'t behave as I am expecting here but don\'t know how to proceed with the issue. Please someone help me.,1,,,
355,"['I need to take a XML element and its children, escape the XML and append them as a text node in another document. I know this approach is stupid, but an API requires it.",1,,,
356,Could I accomplish this using one of many XML libraries for Java? ,1,,,
357,"I tried using JAXP, but my code doesn\'t escape apostrophes and double quotes.",1,,,
358,    …,0,,,
359,    String content = elementToString(nodeToEscape);,0,,,
360,    Text text = document.createTextNode(content);,0,,,
361,"    Node n = document.getElementsByTagName(""targetNode"").item(0);",0,,,
362,String elementToString(Element element) {,0,,,
363,    Document document = element.getOwnerDocument();,0,,,
364,    DOMImplementationLS domImplLS = (DOMImplementationLS) document.getImplementation();,0,,,
365,    LSSerializer serializer = domImplLS.createLSSerializer();,0,,,
366,    return serializer.writeToString(element);,0,,,
367,Resulting document fragment:,0,,,
368," &lt;dataItem aggregate=""none"" name=""Order number""…",0,,,
369,"[""Well, I've read a lot about removing duplicated values from lists, but nothing about maintaining those that are in fact duplicated in another list.  I'll try to explain my problem:",1,,,
370,"I have to read some values from a DB and save every entry (integer entry) that matches my searching criterias. This operation is done n times, since it's a loop operation. The returning object must be a List (or ArrayList, or whatever list implementation is the most adequate for my purpose). ",1,,,
371,"To make it clear, some pseudocode:",1,,,
372,for (int i=0; i<nElements; i++) {,0,,,
373,    tempList = getEntriesFromDb(i);,0,,,
374,    if (i==0),0,,,
375,     //this is where I should maintain those entries that are in fact duplicated,1,,,
376,     // in both tempList and result,1,,,
377,"     result = maintainDuplicates(result,tempList);",0,,,
378,retun result;,0,,,
379,"I would like to know some proposals for my problem. The question is, I could do it making a new loop that extracts every single entry from the lists, create a (third!!) temporal list to save them there, etc.. But I am really aware that this will cause a bottleneck in my implementation.",1,,,
380,"Any help would be appreciated, thanks in advance.",1,,,
381,My Project dosnt have a bin folder,1,,,
382,Have tried the following: ,1,,,
383," D:>java -cp ""Pathtolibfolder\\lib*;Pathtobinfolder\\bin""",0,,,
384,  org.testng.TestNG testng.xml,0,,,
385,Any Ideas?,1,,,
386,['Suppose i have one website with simple pages in php like,1,,,
387,Now there is one page where i want some detailed functioning and i want to use python for that and it will look like,1,,,
388,and in other page i want to use java like,1,,,
389,"Provided i have installed python , java on webserver.",1,,,
390,Is it possible?,1,,,
391,['Why does the following not work in Java?  It would work in C#:,1,,,
392,"public static final List<String> Split(String str, char delimiter)",0,,,
393,"        if ((str == null) || """".equals(str))",0,,,
394,            return new CopyOnWriteArrayList<String>();,0,,,
395,I get an error saying this method has to return List.  CopyOnWriteArrayList implements the List interface.  Why does covariance not apply on return values in Java?,1,,,
396,['We are looking at running our existing Java app on a 64 bit Windows OS and JVM instead of the current 32 bit app.  We noticed that the JSCH SFTP connection takes 15 seconds when run on the 64 bit server vs. a second on 32 bit.  Any ideas why we would see this?,1,,,
397,"['I\'m confused about how I should refresh the state of entity that is already in the database. Being more specific, suppose I have ""entity"" persisted with a code like this:",1,,,
398,EntityManager em = emf.createEntityManager();,1,,,
399,"Since I closed the EntityManager my entity instance is detached. Now suppose that I have other objects using this instance of entity. If I want to fetch the new state of this entity from the database, I pretty much can\'t use em.refresh() because the entity is detached. The em.merge() method returns a managed instance, and since is not the same instance of my object this can be a problem. I can foresee two solutions:",1,,,
400,create a new method in my entity object that updates its state using a given entity instance.,1,,,
401,not close the entity manager (implications !??),1,,,
402,"So, what I should do in this case? How can I refresh the state of my entity object without losing all the references from other objects to it? Ideas?",1,,,
