ID,Amir,Ali,Misagh,Agreement Percent,target,doc,,,,,,,
191,0,0,0,100,0,        at java.lang.reflect.Constructor.newInstance(Constructor.java:408),,,,,,,
192,0,0,0,100,0,        at com.mysql.jdbc.Util.handleNewInstance(Util.java:404),,,,,,,
193,0,0,0,100,0,        at com.mysql.jdbc.ConnectionImpl.getInstance(ConnectionImpl.java:410),,,,,,,
194,0,0,0,100,0,        at com.mysql.jdbc.NonRegisteringDriver.connect(NonRegisteringDriver.java                                                                                        :328),,,,,,,
195,1,1,1,100,1,"['I am trying to some JUnit tests that simulate a server across the network dying. I have an internal utility that allows me to forward traffic from a port on localhost to any port on any other box, and I have used it for these test cases. The problem is that the utility is written in Python and for Unix only so it\'s hard to automate it inside Eclipse. My question is:",,,,,,,
196,1,1,1,100,1,Is there a Java library that can allow me to do this automatically at the drop of a method call?,,,,,,,
197,1,1,1,100,1,"In effect, I want something like Hoxy (which is for Node.js) but for Java.",,,,,,,
198,1,1,1,100,1,['I have 2 questions on how how to parse a specific aspect of this XML in JAXB with annotations.,,,,,,,
199,1,1,1,100,1,Assuming I have a FosterHome class defined...,,,,,,,
200,1,1,1,100,1,"1) For the ""Children"" tag, is there a way to contain the properties within a ""Children"" class without having to create a separate ""Info"" class?",,,,,,,
201,1,1,1,100,1,"2) Since the perperties of the ""Info"" tag are related to ""ChildList"" also, should I be having two Child classes one without Info and one with Info? Or is there a better way?",,,,,,,
202,1,1,1,100,1,Im trying to find the best way to parse this. Please refer to this posting for current set of classes: How do I parse this XML in Java with JAXB?,,,,,,,
203,1,0,0,66.66666667,0,<Orphanage>Happy Days Daycare</Orphanage>,,,,,,,
204,1,0,0,66.66666667,0,<Location>Apple Street</Location>,,,,,,,
205,1,1,1,100,1,['I need a Quartz job to retrieve data from a Database.,,,,,,,
206,1,1,1,100,1,From reading the documents it recommends using simple primitive types in the Quartz Job Execution,,,,,,,
207,1,1,1,100,1,My Question is this - should I:,,,,,,,
208,1,1,1,100,1,Re-initialize my connection to the DB every time the Quartz Job Fires,,,,,,,
209,1,1,1,100,1,Pass the DB connection object as a parameter to the Quartz Object,,,,,,,
210,1,1,1,100,1,['I would like to replace Location header in one condition. I use the following to enable Redirect,,,,,,,
211,1,1,1,100,1,"What I did is to extended AsyncCompletionHandler class, and from there I @Override onHeadersReceived(),",,,,,,,
212,0,0,0,100,0,public State onHeadersReceived(final HttpResponseHeaders headers) throws Exception {,,,,,,,
213,0,0,0,100,0,"String location = headers.getHeaders().get(""Location"").replace(""itmss"", ""https""",,,,,,,
214,0,0,0,100,0,DefaultHttpHeaders httpHeaders = new DefaultHttpHeaders();,,,,,,,
215,0,0,0,100,0,"httpHeaders.add(HEADER, location);",,,,,,,
216,0,0,0,100,0,return inner.onHeadersReceived(new HttpResponseHeaders(httpHeaders));,,,,,,,
217,1,1,1,100,1,"However, I see that the request still uses itms instead of https, which means the Location header is not replaced.",,,,,,,
218,1,1,1,100,1,"The current plan is to implement a interceptor that runs before Redirect30xInterceptor.java(https://github.com/AsyncHttpClient/async-http-client/blob/dd459294434a408cff3c65c9f5c402b82d60aaa2/client/src/main/java/org/asynchttpclient/netty/handler/intercept/Redirect30xInterceptor.java), and change the url.",,,,,,,
219,1,1,1,100,1,"The other plan is to do a while loop for the following code, and whenever receiving 3XX, set a new url in the next request.",,,,,,,
220,0,0,0,100,0,"                             .addHeader(""User-Agent"", request.getUserAgent())",,,,,,,
221,0,0,0,100,0,                             .execute(new ResponseAsyncCompletionHandler(request)),,,,,,,
222,0,1,1,66.66666667,1,"The ultimate goal is to replace itms:// to https://, so the next request uses https instead of itms.",,,,,,,
223,1,1,1,100,1,['I\'d like to know if you can display more than one div or table content of same id from onchange value.  Like if I select an option from drop down and it displays its content but i want to display another content from elsewhere in my page when same option is selected. ,,,,,,,
224,1,1,1,100,1,My code is as follows:,,,,,,,
225,1,0,0,66.66666667,0,"<select name=""debitOrderType"" id = ""debitOrderType"" ",,,,,,,
226,0,0,0,100,0,<option>Please select...</option>,,,,,,,
227,0,0,0,100,0,"<option value=""BANK"" selected>Debit Order (Monthly)</option>",,,,,,,
228,0,0,0,100,0,"<option value=""CARD"">Credit Card (Monthly)</option>",,,,,,,
229,0,0,0,100,0,"<option value=""INVOICE"">Invoice (Yearly)</option>",,,,,,,
230,1,1,1,100,1,Then when selecting Invoice from dropdown it displays the following:,,,,,,,
231,0,0,0,100,0,"<tbody id=""INVOICE"" style=""display: none;"">",,,,,,,
232,0,0,0,100,0,"<td class=""field"">Thank you for selecting to pay yearly in advance. By doing so you ",,,,,,,
233,1,1,1,100,1,are receiving one month\'s free listing.,,,,,,,
234,1,1,1,100,1,But now i want to display the following ALSO when Invoice is selected but in another part of the page:,,,,,,,
235,0,0,0,100,0,"<tbody id=""INVOICE"" style=""display: none;"">",,,,,,,
236,0,0,0,100,0,"<tr><td height=""5""></td></tr>",,,,,,,
237,0,0,0,100,0,"<tr><td align=""right"">This is your discounted yearly price</td></tr>  ",,,,,,,
238,1,1,1,100,1,But only the first part is showing and not both. It looks like you can\'t display more than one content from same Id. ,,,,,,,
239,1,1,1,100,1,Hope you can help me?,,,,,,,
240,1,1,1,100,1,Thanks in advance!,,,,,,,
241,1,1,1,100,1,['Brand new to Java netbeans),,,,,,,
242,1,1,1,100,1,Why does this give me an illegal start of type?,,,,,,,
243,1,1,1,100,1," * To change this license header, choose License Headers in Project Properties.",,,,,,,
244,1,1,1,100,1," * To change this template file, choose Tools | Templates",,,,,,,
245,1,1,1,100,1, * and open the template in the editor.,,,,,,,
246,0,0,0,100,0,package doccentertestingencryption;,,,,,,,
247,0,0,0,100,0,import java.io.BufferedReader;,,,,,,,
248,0,0,0,100,0,import java.io.IOException;,,,,,,,
249,0,0,0,100,0,import java.io.InputStream;,,,,,,,
250,0,0,0,100,0,import java.io.InputStreamReader;,,,,,,,
251,0,0,0,100,0,import java.security.cert.Certificate;,,,,,,,
252,0,0,0,100,0,import java.security.cert.CertificateFactory;,,,,,,,
253,0,0,0,100,0,import java.util.logging.Level;,,,,,,,
254,0,0,0,100,0,import java.util.logging.Logger;,,,,,,,
255,0,0,0,100,0, * @author dbarry,,,,,,,
256,0,0,0,100,0,public class FileLoader {,,,,,,,
257,0,0,1,66.66666667,0,    public class ClassLoaderDemo {,,,,,,,
258,0,0,0,100,0,"        String Foo = ""bar"";",,,,,,,
259,0,0,0,100,0,        try {,,,,,,,
260,0,0,0,100,0,            ClassLoader classLoader = ClassLoaderDemo.class.getClassLoader();,,,,,,,
261,0,0,0,100,0,            if (classLoader != null) {,,,,,,,
262,0,0,0,100,0,"                InputStream is = classLoader.getResourceAsStream(""mesh.xml"");",,,,,,,
263,0,0,0,100,0,                BufferedReader br = new BufferedReader(new InputStreamReader(is));,,,,,,,
264,0,0,0,100,0,"                String s = """";",,,,,,,
265,0,0,0,100,0,                try {,,,,,,,
266,0,0,0,100,0,                    while ((s = br.readLine()) != null)  {,,,,,,,
267,0,0,0,100,0,                } catch (IOException ex) {,,,,,,,
268,0,0,0,100,0,"                    Logger.getLogger(FileLoader.class.getName()).log(Level.SEVERE, null, ex);",,,,,,,
269,0,0,0,100,0,        } catch (Exception e) {,,,,,,,
270,0,0,0,100,0,['package jdbc;,,,,,,,
271,0,0,0,100,0,import java.sql.*;,,,,,,,
272,0,0,0,100,0,import java.util.Scanner;  ,,,,,,,
273,0,0,1,66.66666667,0,class driver{  ,,,,,,,
274,0,0,0,100,0,public static void main(String args[]){  ,,,,,,,
275,0,0,0,100,0,"        Connection con=DriverManager.getConnection(""jdbc:mysql://localhost:3306/countries"",""root"","""");  ",,,,,,,
276,0,0,0,100,0,        Statement stmt=con.createStatement();  ,,,,,,,
277,0,0,0,100,0,"        ResultSet rs=stmt.executeQuery(""select * from countries""); ",,,,,,,
278,0,0,0,100,0,        int count = 1;,,,,,,,
279,0,0,0,100,0,        Scanner scan = new Scanner(System.in);,,,,,,,
280,0,0,0,100,0,"System.out.println(""What county"");",,,,,,,
281,0,0,0,100,0,String info = scan.next();,,,,,,,
282,0,0,0,100,0,while(rs.next() ),,,,,,,
283,0,0,0,100,0,"    if(rs.getString(""name"").charAt(rs.getString(""name"").length() -1) == info.charAt(0) && rs.getString(""name"").equalsIgnoreCase((info)))",,,,,,,
284,0,0,0,100,0,"System.out.println(""success"" + rs.getString(""name""));",,,,,,,
285,0,0,0,100,0,catch(Exception e){ System.out.println(e);,,,,,,,
